Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
N_MgI_2.3298, 13.078673231885574, 0.07867323188557318, 0.02487866036449947, 13.0, 13.157346463771146, 13.0, 13.0, 13.157346463771146, 13.157346463771146, 13.157346463771146
b_MgI_2.3298, 14.356782044125714, 4.435502627857784, 1.402629087169281, 6.570589312571421, 21.97252772996491, 6.570589312571421, 10.61399600683044, 16.73596917325697, 17.657747366047385, 21.97252772996491
dz_MgI_2.3298, 0.07229598547571951, 2.652730043826359, 0.8388668956049581, -3.729075839535006, 4.643138864208536, -3.729075839535006, -2.232034517675955, 0.6089723643064516, 1.7450738191031308, 4.643138864208536
N_CoII_2.3298, 8.54071991812429, 2.838083726491265, 0.8974808765970752, 4.492308036654335, 11.603858788284327, 4.492308036654335, 6.799462907358389, 9.608759232721749, 11.603858788284327, 11.603858788284327
b_CoII_2.3298, 36.74581606698325, 2.4308482596511753, 0.7687017146754095, 32.117680290877054, 39.92629380378469, 32.117680290877054, 35.31679886581279, 37.142784177006114, 38.750984762162055, 39.92629380378469
N_CrII_2.3298, 14.627376111446164, 0.021352727372586647, 0.0067523252753996605, 14.594759281619954, 14.641354752800256, 14.594759281619954, 14.594759281619954, 14.641354752800256, 14.641354752800256, 14.641354752800256
b_CrII_2.3298, 16.854597965792767, 0.19954159611607925, 0.06310059316722189, 16.691672934811127, 17.098985512265227, 16.691672934811127, 16.691672934811127, 16.691672934811127, 17.098985512265227, 17.098985512265227
dz_CrII_2.3298, -7.455131525603898, 1.1753033830097932, 0.3716635632012189, -8.539896462104554, -5.205507657476341, -8.539896462104554, -8.402897661592503, -7.790266892649876, -6.971189067294791, -5.205507657476341
N_ZnII_2.3298, 14.053656401615129, 0.0, 0.0, 14.053656401615129, 14.053656401615129, 14.053656401615129, 14.053656401615129, 14.053656401615129, 14.053656401615129, 14.053656401615129
b_ZnII_2.3298, 27.02439378416496, 1.5569110115195697, 0.4923384910598489, 25.759750745547887, 29.34629229203745, 25.759750745547887, 25.759750745547887, 25.759750745547887, 28.81872281208114, 29.34629229203745
dz_ZnII_2.3298, -4.360009117327892, 1.1815284441757872, 0.37363210038705935, -6.099422965199907, -2.8628298757992288, -6.099422965199907, -5.424750368054001, -3.7735425148984736, -3.1440338924304014, -2.8628298757992288
