#  Asplund et al. 2009 - The chemical composition of the Sun:
#  Element abundances in the present-day solar photosphere.
#  Also given are the corresponding values for CI carbonaceous
#  chondrites (Lodders, Palme & Gail 2009). Indirect photospheric
#  estimates have been used for the noble gases.
#  with the updates from Scott et al. 2015 - The elemental
#  composition of the Sun (Table 6 / DOI: 10.1051/0004-6361/201424109)
element, photosphere, meteorites
1, H, 12.00 0.00, 8.22 0.04
2, He, 10.93 0.01, 1.29 0.00
3, Li, 1.05 0.10, 3.26 0.05
4, Be, 1.38 0.09, 1.30 0.03
5, B, 2.70 0.20, 2.79 0.04
6, C, 8.43 0.05, 7.39 0.04
7, N, 7.83 0.05, 6.26 0.06
8, O, 8.69 0.05, 8.40 0.04
9, F, 4.40 0.25, 4.42 0.06
10, Ne, 7.93 0.10, −1.12 0.0
11, Na, 6.21 0.04, 6.27 0.02
12, Mg, 7.59 0.04, 7.53 0.01
13, Al, 6.43 0.04, 6.43 0.01
14, Si, 7.51 0.03, 7.51 0.01
15, P, 5.41 0.03, 5.43 0.04
16, S, 7.12 0.03, 7.15 0.02
17, Cl, 5.50 0.30,  5.23 0.06
18, Ar, 6.40 0.13, −0.50 0.0
19, K, 5.04 0.05, 5.08 0.02
20, Ca, 6.32 0.03, 6.29 0.02
21, Sc, 3.15 0.04, 3.05 0.02
22, Ti, 4.95 0.05, 4.91 0.03
23, V, 3.93 0.08, 3.96 0.02
24, Cr, 5.64 0.04, 5.64 0.01
25, Mn, 5.43 0.05, 5.48 0.01
26, Fe, 7.50 0.04, 7.45 0.01
27, Co, 4.99 0.07, 4.87 0.01
28, Ni, 6.22 0.04, 6.20 0.01
29, Cu, 4.19 0.04, 4.25 0.04
30, Zn, 4.56 0.05, 4.63 0.04
31, Ga, 3.04 0.09, 3.08 0.02
32, Ge, 3.65 0.10, 3.58 0.04
33, As, - -, 2.30 0.04
34, Se, - -, 3.34 0.03
35, Br, - -, 2.54 0.06
36, Kr, 3.25 0.06, −2.27 0.0
37, Rb, 2.52 0.10, 2.36 0.03
38, Sr, 2.87 0.07, 2.88 0.03
39, Y, 2.21 0.05, 2.17 0.04
40, Zr, 2.58 0.04, 2.53 0.04
41, Nb, 1.46 0.04, 1.41 0.04
42, Mo, 1.88 0.08, 1.94 0.04
