;;;;;;;
100728B ;2,106;;;;21.2 ± 0.5 ;;really high S/N
110128A ;2,339;;6193 / 12491 /;48.4 / 24.0 /;21.90 ± 0.15 ;2,20;really high S/N
110818A ;;;6104 / /;49.11 / / ;21.9 ± 0.4 ;;really high S/N
120119A;1,728;;6328 / /;47.38 / /;22.6 ± 0.2 ;;z too low for H2
120404A;2,876;;5505 / /;54.45 / / ;20.7 ± 0.3;;really high S/N
121027A;1,773;;5677 / / ;52.81 / / ;22.8 ± 0.3 ;;z too low for H2
121201A;3,385;;6075 / 11292 / ;49.35 / 26.59 / ;22.0 ± 0.3 ;;really high S/N
121229A;2,707;;5597 /9344 / ;53.57 / 32.09 /;21.8 ± 0.2 ;;really high S/N
130427B;2,78;;6107 / / ;49.09 / /;21.9 ± 0.3 ;;really high S/N
131117A;4,042;;- / 9308 / 5865;- / 32.21 / 51.11;20.0 ± 0.3 ;;no UVB for H2
140430A;1,601;;5575 / 9697 / 5225;53.78 / 30.92 / 57.38;21.8 ± 0.3 ;;z too low for H2
140515A;6,327;;- / 9750 / 6331 ;- / 30.75 / 47.35;19.0 ± 0.5 ;;strong Ly_alpha forest / high S/N
140614A;4,233;;- / 10299 / 6889;- / 29.11 / 43.52;21.6 ± 0.3 ;;relatively high S/N
150206A;2,0886;;5907 / 10220 / 6720;50.75 / 29.33 / 44.61;21.7 ± 0.4 ;;
150915A;1,968?;;5588 / 9717 / 6241;53.65 / 30.85 / 48.04;21.2 ± 0.3 ;;relatively high S/N
160410A;1,7176;;6156 / 10093 / 6396;48.70 / 29.70 / 46.88;21.2 ± 0.2;;z too low for H2 / CO?
161014A;2,823?;;6217 / 10493 / 7534;48.22 / 28.57 / 39.79;21.4 ± 0.3 ;;relatively high S/N
170113A?;1,968;;5816 / / ;51.54 / / ;not in Sels.;;
