GRB;redshift velo fit;redshift(s) wav fit;R (UVB/VIS/NIR);R km/s (UVB/VIS/NIR);log N_H;int. systems;comment;log N_H
090809A;2,7373;2,7373;5900 / 10200 / 6686;50.8 / 29.4 / 44.8;21.7 ± 0.2 ;;poor S/N for H2;
090926A;2,1069;2,1069;6112 / 10539 / 7108;49.05 / 28.44 / 42.18;21.55 ± 0.10 ;;2 or 1 components?;
100219A;4,6667 (?);;6158 / 10449 / 6396;48.68 / 28.69 / 46.86;21.2 ± 0.2 ;1,856 2,181;hard case;
111008A;4,991;4,99056 4,99165;—— / 13191 / ——;—— / 22.73 / ——;22.40 ± 0.10 ;;;
111107A;2,8930;2,892900 2,893708;6075 / 14590 / 7395;49.34 / 20.55 / 40.54;21.0 ± 0.2 ;1,998;quality in UVB ok, rest bad;
120327A;2,81432;2,814356 2,814918 2,815446;6262 / 10339 / 7314;47.88 / 28.99 / 40.99;22.0 ± 0.05;;;
120712A;4,171948;4,171962 4,174155;5631 / 8694 /  5396;53.24 / 34.48 / 55.56;19.95 ± 0.15;;;
120716A;2,4874;2,48715 2,48769;5345 / 9094 / 6126;56.08 / 32.97 / 48.93;21.80 ± 0.15 ;;;
120815A;2,3582;;6165 / 11192 / 6196;48.63 / 26.79 / 48.39;22.10 ± 0.10 ;;;
120909A;3,929;3,929266 3,928523;4986 / 9393 / 5396;60.1 / 31.95 /  55.56;21.75 ± 0.10 ;;;
121024A;2,3005;2.29897 2.29821 2.30177 2.30238 2.30272;5975 / 12192 / 7895;50.18 / 24.59 / 37.97;21.85 ± 0.10 ;;;
130408A;3,7579;3,757940 3,759044;5919 / 13090 / 7794;50.64 / 22.9 / 38.46;21.80 ± 0.10 ;;;
130606A;5,9127;5,91273 5,91413 5,91181;——  / 12391 /  6495;—— / 24.19 / 46.15;19.91 ± 0.05 ;;strong Ly_alpha forest;
130612A;2,0066;2,006671;5323 / 9296 / 6059;56.32 / 32.25 / 49.48;22.1 ± 0.2 ;;poor S/N for H2;
131011A;1,8745;1,874534;5938 / 10268 / 6935;50.48 / 29.20 / 43.23;22.0 ± 0.3 ;;poor S/N for H2;
140311A;4,955;4,95468;—— / 10529 / 7418;—— / 28.47 / 40.41;22.40 ± 0.15 ;;;
141028A;2,3333;2,333346 2,332386 2,334717;5852 / 9811 / 6712;51.23 / 30.56 / 44.67;20.60 ± 0.15 ;1,823 2,09;;
141109A;2,9940;2,994397 2,993478 2,990742;5795 / 10043 / 6672;51.73 / 29.85 / 44.93;22.10 ± 0.10 ;2,504  2,874;;
150403A;2,0571;2,057006?;5782 / 10023 / 6672;51.85 / 29.91 / 44.93;21.8 ± 0.2 ;1,761;;
151021A;2,3297;2,329764?;5687 / 10592 /  6396 ;52.71 / 28.30 / 46.88;22.3 ± 0.2 ;;;
151027B;4,065;4,06475  4.06541 4.06360;5517 / 9603 /  6333;54.34 / 31.22 / 47.34;20.5 ± 0.2 ;;Should get something meaningful;20.53 +/- 0.06
160203A;3,5187;3,51874 3.51767 3.51935;5819 / 12991 / 7795;51.52 / 23.08 / 38.46;21.75 ± 0.10 ;1,267;;
161023A;2,710;2.710633 2.708306 2.709715;5914 / 10221 / 6820;50.70 / 29.33 / 43.96;20.96 ± 0.05 ;;;
170202A;3,6456;3,645607;6399 / 10977 / 7500 ;46.85 / 27.31 / 39.97;21.55 ± 0.10 ;3.077;;
